axis,seq_index,target_label_deg,duration_s,target_deg,start_actual_deg,steady_actual_deg,rise_time_s,peak_time_s,settling_time_s,overshoot_percent,steady_error_deg,rmse_deg,max_error_deg,peak_speed_rad_s,output_abs_max_raw,current_abs_max_raw
yaw,2,3.0,2.495,2.9999497195254774,2.245713060256958,2.892642733584934,0.014301962994178512,0.159,0.049,1.6028668626349714,0.10730698594054358,0.30077907266403986,3.0269933274556524,1.774182,3876.0,2839.0
yaw,4,5.0,2.495,4.999973494988642,3.5893588767390994,4.928675982346594,0.010267478734124327,0.07,0.17,23.757233906159232,0.07129751264204778,0.5317960469251748,4.8908823307957325,2.440587,4397.0,3059.0
yaw,6,10.0,2.495,9.999946989977284,6.459997570309077,9.889279247411839,0.014942928150654532,0.099,0.239,52.75818966880833,0.11066774256544543,1.2998692293363445,10.039710260959362,3.866668,5000.0,3444.0
yaw,8,20.0,2.495,19.99995127573408,8.733867203351613,19.621473642157742,0.03824596180180051,0.139,,12.852548681082283,0.3784776335763402,2.9740537160553413,19.94431707382688,4.391206,5000.0,3463.0
