axis,seq_index,target_label_deg,duration_s,target_deg,start_actual_deg,steady_actual_deg,rise_time_s,peak_time_s,settling_time_s,overshoot_percent,steady_error_deg,rmse_deg,max_error_deg,peak_speed_rad_s,output_abs_max_raw,current_abs_max_raw
pitch,2,3.0,2.495,2.9999497195254774,1.7391386534941622,2.7024596702908767,,2.149,,0.0,0.2974900492346008,0.4583396958222023,3.039082736932913,1.576857,3908.0,2332.0
pitch,4,-3.0,2.49,-2.9999497195254774,-1.9923262120416245,-3.034552057765824,0.20264230724451426,2.3,0.12,4.674080190661708,0.034602338240346454,0.29819334966763184,3.1690295648685836,2.261473,4499.0,2244.0
pitch,6,-10.0,2.494,-9.999946989977284,-5.911447777250826,-10.207678954443598,0.0825060242477693,0.18,0.245,8.390116130561074,0.20773196446631467,1.1452337010826137,9.890168276430218,4.495002,4931.0,2272.0
pitch,8,10.0,2.495,9.999946989977284,5.841221382043088,9.717008199058418,0.5503517695818194,1.9,2.019,0.0,0.2829387909188662,1.1912885164239972,10.192919175377346,4.474071,5000.0,2722.0
